tarih,siparis_no,musteri_id,toplam_tutar
2018-10-04,PP42146677,293551,16862
2018-10-22,PP45416904,7627112,11810
2018-10-03,PP43106157,3142515,8322
2018-10-17,PP41696549,6445399,6186
2018-10-10,PP43106321,106006,6008
2018-10-22,PP48456956,7627112,5991
2018-10-03,PP48126171,7600,5832
2018-10-31,PP47756283,4341085,5555
2018-10-11,PP42606153,293551,5386
2018-10-08,PP41136862,675541,5353
2018-10-08,PP46166844,675541,5353
2018-10-04,PP41176479,1916211,5183
2018-10-08,PP41186836,675541,4949
2018-10-23,PP45476272,7627112,4861
2018-10-22,PP48426959,7627112,4630
2018-10-05,PP46106740,277335,4343
2018-10-08,PP49146237,5674660,4238
2018-10-03,PP47156122,4597139,4082
2018-10-08,PP40136282,5674658,4082
2018-10-08,PP48126295,477474,4072
2018-10-28,PP47776499,34445,4043
2018-10-30,PP42786041,6572233,4027
2018-10-10,PP49126374,8050587,4016
2018-10-04,PP40116498,8032590,3945
2018-10-05,PP40116498,8032590,3945
2018-10-05,PP48146485,1953369,3877
2018-10-01,PP40361859,419527,3840
2018-10-02,PP41301385,315168,3818
2018-10-01,PP47351570,605730,3794
2018-10-20,PP42436401,675541,3757
2018-10-23,PP45416296,4513455,3676
2018-10-16,PP47606851,8071495,3597
2018-10-12,PP41646462,899793,3591
2018-10-11,PP46646612,6362908,3518
2018-10-23,PP46486804,4376527,3463
2018-10-09,PP47126548,718787,3371
2018-10-08,PP47136289,4341085,3236
2018-10-08,PP48106284,4341085,3236
2018-10-08,PP43116223,4341085,3236
2018-10-08,PP40166205,4341085,3236
2018-10-08,PP43196283,4341085,3236
2018-10-08,PP49176282,4341085,3236
2018-10-08,PP40156230,4341085,3235
2018-10-04,PP40196610,4042535,3220
2018-10-03,PP43341388,8026486,3220
2018-10-04,PP46106487,203116,3184
2018-10-29,PP47756026,5492319,3173
2018-10-05,PP41186793,5859541,3147
2018-10-24,PP48406805,4238269,3073
2018-10-06,PP47166023,4438384,3055
2018-10-07,PP46166944,315448,3051
2018-10-18,PP44446104,6743551,3050
2018-10-17,PP40606895,3575617,2972
2018-10-08,PP44126801,7651785,2966
2018-10-11,PP40696136,7381776,2893
2018-10-18,PP47606370,1047166,2869
2018-10-09,PP42186819,4341085,2866
2018-10-16,PP49636221,252416,2840
2018-10-19,PP48426696,8076827,2829
2018-10-06,PP44136055,470677,2829
2018-10-18,PP40436106,8077819,2822
2018-10-22,PP49486968,3898308,2819
2018-10-24,PP41496584,5832691,2806
2018-10-27,PP41716432,6572233,2797
2018-10-05,PP49176461,97090,2795
2018-10-10,PP41646192,2112046,2782
2018-10-06,PP47166063,8037027,2777
2018-10-18,PP48646346,4398420,2774
2018-10-16,PP40666288,254775,2774
2018-10-22,PP49456946,3898308,2773
2018-10-07,PP49106950,3285635,2712
2018-10-16,PP43676225,4270497,2711
2018-10-03,PP49146110,4975493,2696
2018-10-25,PP42446362,5915532,2681
2018-10-04,PP41116415,3291744,2680
2018-10-16,PP48676205,5775600,2666
2018-10-16,PP40606252,8069828,2665
2018-10-15,PP45656914,675541,2650
2018-10-09,PP43156864,5582096,2634
2018-10-24,PP48436590,1190550,2619
2018-10-28,PP41736453,194871,2618
2018-10-10,PP45126357,675541,2605
2018-10-10,PP46126399,8049697,2601
2018-10-16,PP46656261,7025626,2594
2018-10-09,PP43156863,5582096,2592
2018-10-05,PP42116423,7957036,2586
2018-10-01,PP44341507,149598,2578
2018-10-19,PP46456612,378151,2570
2018-10-12,PP49616485,2112046,2553
2018-10-27,PP43796667,1003220,2527
2018-10-24,PP42496863,10122,2514
2018-10-02,PP42391572,4527825,2511
2018-10-07,PP45116991,145035,2507
2018-10-13,PP49626761,56986,2507
2018-10-17,PP42626833,5663120,2485
2018-10-26,PP46756169,8098624,2484
2018-10-04,PP41116420,97438,2473
2018-10-13,PP42606783,5091908,2458
2018-10-09,PP48106534,575297,2456
2018-10-03,PP42176183,7900607,2449
2018-10-14,PP45676050,805919,2444
2018-10-02,PP44311386,4341085,2441
2018-10-08,PP49166260,5674662,2441
2018-10-03,PP47186126,4341085,2440
2018-10-21,PP42436712,7087660,2433
2018-10-18,PP40696316,4204704,2420
2018-10-11,PP40676151,3707305,2413
2018-10-09,PP43166826,303024,2390
2018-10-09,PP46156528,7126775,2382
2018-10-01,PP48361842,8020709,2375
2018-10-18,PP40416137,213,2369
2018-10-27,PP48736626,4509845,2360
2018-10-18,PP42486134,56986,2360
2018-10-24,PP47436513,8094705,2355
2018-10-26,PP40746191,4436615,2350
2018-10-09,PP49116558,5156596,2348
2018-10-25,PP49426331,899793,2324
2018-10-07,PP44126995,7131678,2319
2018-10-22,PP49496987,8022166,2317
2018-10-15,PP47696928,4477046,2315
2018-10-31,PP44746284,1804310,2315
2018-10-25,PP43446589,7851557,2314
2018-10-26,PP47706103,3245031,2313
2018-10-16,PP45656289,107561,2294
2018-10-18,PP46416108,1394785,2292
2018-10-08,PP40156214,4088125,2287
2018-10-17,PP45676894,8072624,2278
2018-10-31,PP40726236,7033689,2278
2018-10-16,PP42656266,8070440,2277
2018-10-02,PP44391301,4660495,2272
2018-10-19,PP43416600,7266648,2259
2018-10-09,PP42196804,2259308,2249
2018-10-02,PP41391366,7922298,2241
2018-10-07,PP40116907,7462616,2234
2018-10-25,PP44406390,667673,2231
2018-10-20,PP40446450,2591078,2183
2018-10-23,PP40406249,1406570,2165
2018-10-24,PP42466513,419527,2158
2018-10-17,PP41666375,509698,2132
2018-10-14,PP45696019,2112046,2131
2018-10-01,PP48301870,1080986,2131
2018-10-01,PP40351814,2192536,2117
2018-10-04,PP46186457,4268282,2117
2018-10-28,PP46786404,44863,2113
2018-10-17,PP49676896,7777181,2095
2018-10-09,PP42136808,1397,2093
2018-10-25,PP40466334,7212479,2086
2018-10-11,PP46606606,5737512,2079
2018-10-06,PP46146025,45022,2076
2018-10-17,PP44636522,62440,2065
2018-10-27,PP44776615,4730621,2051
2018-10-18,PP43616321,4563,2049
2018-10-16,PP40646291,254775,2044
2018-10-11,PP41686161,4147825,2042
2018-10-09,PP41116515,4341085,2032
2018-10-23,PP40416211,4142609,2032
2018-10-15,PP49626994,2593505,2031
2018-10-17,PP47636522,4207138,2030
2018-10-10,PP43166553,2923414,2018
2018-10-01,PP40371884,2100133,2018
2018-10-22,PP46406947,697430,2016
2018-10-03,PP44106153,7693791,2004
2018-10-24,PP48466818,9626,1997
2018-10-09,PP45146816,1230934,1995
2018-10-01,PP43331870,2053315,1981
2018-10-12,PP43686630,8057019,1981
2018-10-15,PP43686032,29822,1980
2018-10-25,PP44486831,8092422,1980
2018-10-24,PP47476562,740909,1980
2018-10-17,PP46636382,3089230,1966
2018-10-08,PP44186294,5897713,1951
2018-10-04,PP44126602,3635312,1944
2018-10-08,PP46186860,4406258,1935
2018-10-27,PP41726433,2005860,1930
2018-10-22,PP44456940,13373,1922
2018-10-28,PP49726454,155879,1922
2018-10-02,PP42361520,79363,1916
2018-10-19,PP48446676,338357,1915
2018-10-09,PP44106574,87432,1906
2018-10-02,PP48361350,4376527,1902
2018-10-02,PP42321573,7957696,1899
2018-10-16,PP40636246,5152189,1883
2018-10-24,PP49406885,6319390,1882
2018-10-04,PP45176617,6280666,1878
2018-10-08,PP40156282,33992,1873
2018-10-22,PP47436975,6335781,1872
2018-10-29,PP41756039,8106780,1867
2018-10-04,PP44156485,4081403,1862
2018-10-16,PP43616258,8070864,1861
2018-10-19,PP43446102,2056004,1855
2018-10-03,PP46176188,6446832,1849
2018-10-04,PP40166478,5091908,1843
2018-10-08,PP48146245,5787229,1842
2018-10-19,PP48406647,7957036,1840
2018-10-07,PP48176914,130347,1833
2018-10-08,PP40186864,1124510,1830
2018-10-08,PP43116211,6570720,1826
2018-10-01,PP43301807,7484361,1824
2018-10-23,PP47456811,991880,1821
2018-10-18,PP41446179,231608,1819
2018-10-02,PP46391315,1513268,1817
2018-10-02,PP45301587,1877285,1814
2018-10-30,PP44746911,237442,1813
2018-10-10,PP43196379,904964,1808
2018-10-04,PP49176698,8030301,1807
2018-10-07,PP45156990,6301413,1807
2018-10-16,PP47616226,8069544,1805
2018-10-04,PP48156614,4243230,1804
2018-10-23,PP49436280,4554494,1802
2018-10-06,PP47136086,8037263,1802
2018-10-30,PP45746001,212083,1799
2018-10-09,PP49166875,53282,1795
2018-10-27,PP44766697,7455951,1792
2018-10-07,PP49166929,7029525,1789
2018-10-14,PP45636716,4041793,1787
2018-10-21,PP49476726,4194874,1785
2018-10-22,PP44426976,8088134,1782
2018-10-16,PP48686236,6237128,1781
2018-10-08,PP40156232,5557406,1780
2018-10-27,PP40746693,1716171,1779
2018-10-19,PP40496661,8079260,1778
2018-10-08,PP40116205,89509,1776
2018-10-01,PP40341544,904964,1775
2018-10-17,PP46696509,2406597,1772
2018-10-17,PP43636814,3003443,1764
2018-10-30,PP46706969,168298,1762
2018-10-01,PP40331542,8022740,1761
