musteri_id,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
213,12,1,2369,2,4,1,241
1397,21,1,2093,3,4,1,341
4563,12,1,2049,2,4,1,241
7105,22,1,1643,3,4,2,342
7552,5,1,1309,1,4,2,142
7600,27,1,5832,4,4,1,441
9626,6,1,1997,1,4,1,141
9854,18,1,1026,3,4,4,344
10122,6,1,2514,1,4,1,141
13373,8,1,1922,1,4,1,141
15302,12,1,1144,2,4,3,243
18152,11,1,1116,2,4,3,243
22625,28,1,1430,4,4,2,442
23094,19,1,1107,3,4,3,343
26165,10,1,1181,2,4,3,243
27312,6,1,1432,1,4,2,142
28493,20,2,2165,3,1,1,311
29502,26,1,1079,4,4,4,444
29817,27,1,1050,4,4,4,444
29822,15,1,1980,2,4,1,241
32109,20,1,1341,3,4,2,342
33992,22,1,1873,3,4,1,341
34445,2,1,4043,1,4,1,141
36379,11,1,1083,2,4,4,244
36423,13,1,1016,2,4,4,244
36563,21,1,1197,3,4,3,343
37191,15,2,2022,2,1,1,211
37278,28,1,1275,4,4,3,443
37473,29,2,2852,4,1,1,411
42006,22,1,1309,3,4,2,342
42010,27,1,1507,4,4,2,442
42092,27,1,1068,4,4,4,444
42144,27,1,1331,4,4,2,442
43483,22,1,1443,3,4,2,342
44338,8,1,1111,1,4,3,143
44863,2,1,2113,1,4,1,141
45022,24,2,3214,4,1,1,411
45596,4,1,1120,1,4,3,143
49195,12,1,1398,2,4,2,242
49710,5,1,1021,1,4,4,144
51017,-1,1,999,1,4,4,144
52618,6,2,2202,1,1,1,111
53282,21,1,1795,3,4,2,342
54214,22,1,1324,3,4,2,342
55311,25,1,1066,4,4,4,444
56986,12,3,5883,2,1,1,211
57631,10,1,1280,2,4,3,243
58590,22,1,1131,3,4,3,343
59571,22,1,1366,3,4,2,342
62440,13,1,2065,2,4,1,241
62762,12,1,1541,2,4,2,242
65768,5,1,1457,1,4,2,142
67483,22,1,1613,3,4,2,342
67639,13,1,1582,2,4,2,242
70056,0,1,1174,1,4,3,143
70428,2,1,1170,1,4,3,143
73832,16,1,1497,3,4,2,342
77303,8,1,1319,1,4,2,142
78230,15,1,1225,2,4,3,243
79363,28,1,1916,4,4,1,441
80980,28,1,1115,4,4,3,443
82519,29,1,1368,4,4,2,442
83622,2,1,1448,1,4,2,142
87432,21,1,1906,3,4,1,341
89509,22,1,1776,3,4,2,342
90312,10,1,1121,2,4,3,243
94646,4,1,1455,1,4,2,142
96386,12,1,1374,2,4,2,242
97090,25,1,2795,4,4,1,441
97438,26,1,2473,4,4,1,441
98057,27,1,1249,4,4,3,443
100201,12,1,1719,2,4,2,242
100830,20,1,1225,3,4,3,343
101955,12,2,2898,2,1,1,211
106006,20,1,6008,3,4,1,341
107561,14,1,2294,2,4,1,241
110050,19,1,1012,3,4,4,344
111984,16,1,1558,3,4,2,342
115140,0,1,1154,1,4,3,143
120693,7,1,994,1,4,4,144
120784,25,1,1055,4,4,4,444
128317,8,1,1117,1,4,3,143
130347,23,1,1833,4,4,1,441
140838,10,1,1025,2,4,4,244
145035,23,1,2507,4,4,1,441
147245,29,1,1521,4,4,2,442
147643,20,1,1231,3,4,3,343
149598,29,1,2578,4,4,1,441
151552,0,1,1185,1,4,3,143
155879,2,1,1922,1,4,1,141
161787,18,1,1224,3,4,3,343
163074,22,1,995,3,4,4,344
167744,22,1,1014,3,4,4,344
168298,0,1,1762,1,4,2,142
172743,0,1,997,1,4,4,144
188937,7,3,3949,1,1,1,111
191105,-1,1,1420,1,4,2,142
194871,2,1,2618,1,4,1,141
195660,22,1,1262,3,4,3,343
198189,3,1,1188,1,4,3,143
203116,26,2,4261,4,1,1,411
212083,0,1,1799,1,4,2,142
216634,22,1,1054,3,4,4,344
219157,28,1,1004,4,4,4,444
222835,21,1,1087,3,4,4,344
223867,22,1,1554,3,4,2,342
226997,22,1,1019,3,4,4,344
231608,12,1,1819,2,4,1,241
232078,13,1,1134,2,4,3,243
237363,9,1,1036,2,4,4,244
237442,0,1,1813,1,4,1,141
252416,14,1,2840,2,4,1,241
254775,14,2,4818,2,1,1,211
255778,23,1,1070,4,4,4,444
277335,25,1,4343,4,4,1,441
279398,21,1,1333,3,4,2,342
293551,19,2,22248,3,1,1,311
296112,1,1,1204,1,4,3,143
303024,21,1,2390,3,4,1,341
308617,13,1,1370,2,4,2,242
315168,28,1,3818,4,4,1,441
315448,23,1,3051,4,4,1,441
335251,4,1,989,1,4,4,144
338357,11,1,1915,2,4,1,241
339403,1,1,1564,1,4,2,142
340355,15,1,1039,2,4,4,244
340409,21,1,1524,3,4,2,342
355405,27,1,1204,4,4,3,443
372784,22,1,1086,3,4,4,344
378151,11,1,2570,2,4,1,241
380096,7,1,1354,1,4,2,142
383402,12,1,1326,2,4,2,242
385637,8,1,1564,1,4,2,142
386808,28,1,1203,4,4,3,443
394789,27,1,1168,4,4,3,443
399147,15,1,1139,2,4,3,243
402539,20,2,2552,3,1,1,311
404388,22,1,1082,3,4,4,344
407450,2,1,1321,1,4,2,142
412209,13,1,1353,2,4,2,242
419527,6,3,7709,1,1,1,111
443153,9,2,3004,2,1,1,211
453267,9,1,1026,2,4,4,244
464654,22,1,1236,3,4,3,343
468862,29,1,1424,4,4,2,442
470077,11,1,1194,2,4,3,243
470677,24,1,2829,4,4,1,441
477474,22,1,4072,3,4,1,341
482546,-1,1,1120,1,4,3,143
484916,9,1,1198,2,4,3,243
484921,13,1,1646,2,4,2,242
489247,10,1,1173,2,4,3,243
506226,8,1,1235,1,4,3,143
509698,13,1,2132,2,4,1,241
513690,28,1,1064,4,4,4,444
516693,2,1,1694,1,4,2,142
518275,12,1,1225,2,4,3,243
528159,18,2,2925,3,1,1,311
540615,3,1,1030,1,4,4,144
547864,18,1,994,3,4,4,344
575297,21,1,2456,3,4,1,341
586454,21,1,1137,3,4,3,343
598047,28,1,1164,4,4,3,443
605730,29,1,3794,4,4,1,441
653482,14,1,1111,2,4,3,243
656837,10,1,1096,2,4,4,244
657914,18,1,1469,3,4,2,342
663791,25,1,1257,4,4,3,443
667673,5,1,2231,1,4,1,141
675541,10,6,24667,2,1,1,211
685194,17,1,1394,3,4,2,342
687428,24,1,1622,4,4,2,442
697430,8,1,2016,1,4,1,141
705668,29,1,1026,4,4,4,444
709299,15,1,1470,2,4,2,242
718787,21,1,3371,3,4,1,341
720401,12,1,1148,2,4,3,243
729104,9,1,1276,2,4,3,243
734410,13,1,988,2,4,4,244
740909,6,1,1980,1,4,1,141
795188,7,1,1646,1,4,2,142
796782,16,1,1012,3,4,4,344
799832,4,1,1515,1,4,2,142
805919,16,1,2444,3,4,1,341
840654,6,1,1265,1,4,3,143
842550,7,1,1035,1,4,4,144
846308,22,1,1406,3,4,2,342
846503,7,1,1125,1,4,3,143
867489,6,1,1172,1,4,3,143
885960,17,1,1295,3,4,2,342
890981,22,2,2090,3,1,1,311
899793,5,2,5915,1,1,1,111
901320,13,1,1393,2,4,2,242
904036,10,1,1133,2,4,3,243
904964,20,2,3583,3,1,1,311
906928,12,1,1393,2,4,2,242
936124,14,1,1208,2,4,3,243
937013,9,2,2465,2,1,1,211
950143,5,2,2298,1,1,1,111
953056,2,1,991,1,4,4,144
968279,-1,1,1138,1,4,3,143
991880,7,1,1821,1,4,1,141
1003220,3,1,2527,1,4,1,141
1004701,22,1,1279,3,4,3,343
1005370,10,2,2585,2,1,1,211
1014934,12,1,1521,2,4,2,242
1027527,0,1,1078,1,4,4,144
1028146,11,1,1227,2,4,3,243
1029249,14,1,1734,2,4,2,242
1030845,5,1,1120,1,4,3,143
1041304,19,1,1065,3,4,4,344
1047166,12,1,2869,2,4,1,241
1048687,11,1,1721,2,4,2,242
1067433,3,1,1755,1,4,2,142
1080986,29,1,2131,4,4,1,441
1124510,22,1,1830,3,4,1,341
1148855,21,1,1064,3,4,4,344
1158662,27,1,1465,4,4,2,442
1190550,6,1,2619,1,4,1,141
1197512,28,1,1204,4,4,3,443
1203286,22,1,1043,3,4,4,344
1204881,11,1,1456,2,4,2,242
1216541,21,1,1231,3,4,3,343
1230934,21,1,1995,3,4,1,341
1274779,28,1,1156,4,4,3,443
1300232,14,1,990,2,4,4,244
1309417,-1,1,1308,1,4,2,142
1332931,6,1,1064,1,4,4,144
1340993,21,1,1314,3,4,2,342
1346982,1,1,1012,1,4,4,144
1353880,4,3,3414,1,1,1,111
1354301,15,1,1119,2,4,3,243
1370418,10,1,1233,2,4,3,243
1394785,12,1,2292,2,4,1,241
1406570,7,1,2165,1,4,1,141
1408309,15,1,1122,2,4,3,243
1448557,29,1,1019,4,4,4,444
1458736,13,1,1335,2,4,2,242
1472509,12,1,1063,2,4,4,244
1472757,2,2,2026,1,1,1,111
1486749,15,1,1009,2,4,4,244
1513268,28,1,1817,4,4,1,441
1521586,2,1,1619,1,4,2,142
1529471,16,1,1480,3,4,2,342
1573870,9,2,2731,2,1,1,211
1575410,12,1,999,2,4,4,244
1579180,11,1,1206,2,4,3,243
1611177,5,1,1522,1,4,2,142
1613492,26,1,1200,4,4,3,443
1622168,25,1,1311,4,4,2,442
1622221,2,1,1040,1,4,4,144
1629049,24,1,1010,4,4,4,444
1642289,11,1,1074,2,4,4,244
1642956,3,1,1104,1,4,4,144
1649588,24,1,1045,4,4,4,444
1681511,15,1,1060,2,4,4,244
1716171,3,1,1779,1,4,2,142
1767163,18,1,1120,3,4,3,343
1804310,-1,1,2315,1,4,1,141
1817913,6,1,1295,1,4,2,142
1831659,22,1,1111,3,4,3,343
1877285,28,1,1814,4,4,1,441
1893399,22,1,988,3,4,4,344
1914299,7,1,1082,1,4,4,144
1916211,26,1,5183,4,4,1,441
1928746,12,1,1007,2,4,4,244
1934465,11,1,1376,2,4,2,242
1953369,25,1,3877,4,4,1,441
1966548,20,1,1417,3,4,2,342
